Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return
2018-02-28,10492.849609375,10492.849609375,10535.5,10461.5498046875,10488.9501953125,286000,-0.5822290104475547,-0.0058393057141950064
2018-03-01,10458.349609375,10458.349609375,10525.5,10447.150390625,10479.9501953125,176000,-0.32879533476946055,-0.003293370543887722
2018-03-05,10358.849609375,10358.849609375,10428.7001953125,10323.900390625,10428.2998046875,194000,-0.9513929416818057,-0.009559475957881534
2018-03-06,10249.25,10249.25,10441.349609375,10215.900390625,10420.5,222900,-1.0580287725753812,-0.01063665692404489
2018-03-07,10154.2001953125,10154.2001953125,10243.349609375,10141.5498046875,10232.9501953125,249500,-0.9273830249774351,-0.009317099938461516
2018-03-08,10242.650390625,10242.650390625,10270.349609375,10146.400390625,10216.25,226400,0.8710700361544088,0.00867298109371104
2018-03-09,10226.849609375,10226.849609375,10296.7001953125,10211.900390625,10271.2998046875,186500,-0.1542645765246653,-0.0015438368683495453
2018-03-12,10421.400390625,10421.400390625,10433.650390625,10295.4501953125,10301.599609375,216400,1.9023530088059015,0.018844845326350685
2018-03-13,10426.849609375,10426.849609375,10478.599609375,10377.849609375,10389.5,266700,0.052288738036598836,0.000522750722395459
2018-03-14,10410.900390625,10410.900390625,10420.349609375,10336.2998046875,10393.0498046875,181400,-0.1529629691374823,-0.0015308007692338495
2018-03-15,10360.150390625,10360.150390625,10420.0,10346.2001953125,10405.4501953125,173900,-0.4874698450260895,-0.004886618546444992
2018-03-16,10195.150390625,10195.150390625,10346.2998046875,10180.25,10345.150390625,328500,-1.592640973139836,-0.0160545978679463
2018-03-19,10094.25,10094.25,10224.5498046875,10075.2998046875,10215.349609375,210200,-0.9896900659531527,-0.00994620052782473
2018-03-20,10124.349609375,10124.349609375,10155.650390625,10049.099609375,10051.5498046875,203000,0.2981856935879268,0.002977420018466655
2018-03-21,10155.25,10155.25,10227.2998046875,10132.9501953125,10181.9501953125,204800,0.3052086486265315,0.003047438325629427
2018-03-22,10114.75,10114.75,10207.849609375,10105.400390625,10167.5,230500,-0.3988084980675044,-0.003996058598285198
2018-03-23,9998.0498046875,9998.0498046875,10027.7001953125,9951.900390625,9968.7998046875,285700,-1.1537625281148767,-0.011604700101594518
2018-03-26,10130.650390625,10130.650390625,10143.5,9958.5498046875,9989.150390625,262600,1.3262645068574441,0.01317546616079525
2018-03-27,10184.150390625,10184.150390625,10207.900390625,10139.650390625,10188.0,225700,0.5281003483202706,0.005267107884641591
2018-03-28,10113.7001953125,10113.7001953125,10158.349609375,10096.900390625,10143.599609375,344400,-0.6917631084606968,-0.006941668814759831
2018-04-02,10211.7998046875,10211.7998046875,10220.099609375,10127.75,10151.650390625,225400,0.9699675438319622,0.009652935584409928
2018-04-03,10245.0,10245.0,10255.349609375,10171.0498046875,10186.849609375,205300,0.32511600254110373,0.0032458864317621047
2018-04-04,10128.400390625,10128.400390625,10279.849609375,10111.2998046875,10274.599609375,231100,-1.138112341386044,-0.011446384030859532
2018-04-05,10325.150390625,10325.150390625,10331.7998046875,10227.4501953125,10228.4501953125,236800,1.9425574859986305,0.019239306758980577
2018-04-06,10331.599609375,10331.599609375,10350.4501953125,10290.849609375,10322.75,200200,0.06246125727966678,0.0006244175835545499
2018-04-09,10379.349609375,10379.349609375,10397.7001953125,10328.5,10333.7001953125,221600,0.4621743176794313,0.004611095715747583
2018-04-10,10402.25,10402.25,10424.849609375,10381.5,10412.900390625,251700,0.2206341580816895,0.0022039111834326382
2018-04-11,10417.150390625,10417.150390625,10428.150390625,10355.599609375,10428.150390625,250400,0.14324199692374862,0.001431395034394698
2018-04-12,10458.650390625,10458.650390625,10469.900390625,10395.25,10410.650390625,238600,0.3983815001590951,0.0039759006232568585
2018-04-13,10480.599609375,10480.599609375,10519.900390625,10451.4501953125,10495.2998046875,213100,0.2098666456015641,0.002096467331850084
2018-04-16,10528.349609375,10528.349609375,10540.150390625,10396.349609375,10398.2998046875,195000,0.4556037037927396,0.004545689717794212
2018-04-17,10548.7001953125,10548.7001953125,10560.4501953125,10495.650390625,10557.2998046875,206100,0.1932932196645476,0.0019310664870136763
2018-04-18,10526.2001953125,10526.2001953125,10594.2001953125,10509.7001953125,10578.900390625,205400,-0.2132964212026689,-0.0021352422200410556
2018-04-19,10565.2998046875,10565.2998046875,10572.2001953125,10546.2001953125,10563.650390625,262600,0.37145036812440413,0.0037076219486611
2018-04-20,10564.0498046875,10564.0498046875,10582.349609375,10527.4501953125,10560.349609375,244600,-0.011831183431687542,-0.00011831883371402492
