Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Return_5D,Return_10D,Return_20D,Return_60D,Volatility_20D,Volatility_60D,Volatility_120D,Volatility_252D,MA_20D,MA_50D,MA_100D,MA_200D,Price_vs_MA20_pct,Price_vs_MA50_pct,Price_vs_MA200_pct,Volatility_Ratio_20_60,Volatility_Ratio_20_120,Volatility_Ratio_60_252,True_Range,ATR_14D,ATR_14D_pct,Return_Volatility_20D,Return_Volatility_60D,Drawdown_20D_pct,Drawdown_60D_pct,Drawdown_252D_pct,Range_20D_pct,Volume_Change_pct
2021-01-05,14199.5,14199.5,14215.599609375,14048.150390625,14075.150390625,492500,0.4712380865514287,0.0047013123578649,1.9156539203596168,6.535665074915653,6.317503696909577,19.98293536480609,14.534549972665603,14.454696065925052,15.464054627121202,31.703131745530143,13724.47998046875,13007.14201171875,12250.042978515625,11043.986000976562,3.4611148852798035,9.166948336590753,28.572238309107,1.0055244265515064,0.9398925652509392,0.45593905933167106,167.44921875,181.10693359375,1.2754458508662276,0.90671438193591,0.9067380496412054,0.0,0.0,0.0,7.635123870998979,-0.5050505050505083
2021-01-06,14146.25,14146.25,14244.150390625,14039.900390625,14240.9501953125,632300,-0.3750132046903109,-0.0037571814216639,1.1750850374405042,5.049272667134708,5.6245994624183115,18.734365447087864,14.735278211984745,14.500246418067,15.433655422421651,31.69705096069462,13762.144970703124,13051.46001953125,12278.5009765625,11072.373251953126,2.791025891055199,8.388256783765335,27.76167925430668,1.016208813777461,0.9547497212214341,0.4574635803200676,204.25,186.80336216517858,1.3205150634633107,0.9196205556236129,0.9096830887287998,-0.37501320469031096,-0.37501320469031096,-0.37501320469031096,7.8656901674472035,28.385786802030456
2021-01-07,14137.349609375,14137.349609375,14256.25,14123.099609375,14253.75,559200,-0.0629169612088031,-0.0006293676223474,1.1128764952527348,3.942695924602835,4.49586459972926,18.493073711173167,14.513601422104076,14.514963151674486,15.327946625077205,31.693156271496896,13792.557470703125,13098.85201171875,12308.09046875,11101.742749023437,2.4998419575503084,7.928157343308917,27.34351649986295,0.9999061844280154,0.9468718659522976,0.457984147345036,133.150390625,189.19266183035714,1.3382470339765558,0.905565062386299,0.9106311671214672,-0.437694218986584,-0.437694218986584,-0.437694218986584,7.95622825894893,-11.560967894986563
2021-01-08,14347.25,14347.25,14367.2998046875,14221.650390625,14258.400390625,613500,1.4847223590326086,0.0147380825344641,2.345115383243579,4.349328145171549,6.44703121242558,20.216598935858233,14.983869979862025,14.70784810141261,15.383131241441264,31.66166337060048,13836.00498046875,13148.00900390625,12339.09197265625,11129.751748046874,3.6950335031892267,9.121084384239907,28.908984897329404,1.0187669791356428,0.9740455141861072,0.46453175656809054,229.9501953125,197.45696149553572,1.3762704455246526,0.9357701100862766,0.9229454950434488,0.0,0.0,0.0,8.613843136315321,9.71030042918455
2021-01-11,14484.75,14484.75,14498.2001953125,14383.099609375,14474.0498046875,672900,0.9583718134137164,0.0095380856285503,2.4895782157241975,4.408137964405157,7.184484204644792,20.998160030444545,15.15338922079231,14.767480750958823,15.345259739799054,31.671109907919547,13884.55,13203.11201171875,12370.0859765625,11164.124248046875,4.322790439733382,9.707090170436338,29.743719060938044,1.0261323157511772,0.987496430672391,0.4662760728592631,150.9501953125,162.09270368303572,1.1190576550029219,0.9465150998510401,0.9267139355390797,0.0,0.0,0.0,9.435785912770328,9.68215158924206
2021-01-12,14563.4501953125,14563.4501953125,14590.650390625,14432.849609375,14473.7998046875,929600,0.5433314024232416,0.0054186068221036,2.5631197951512474,4.52787422035017,7.4147267564064645,24.683341529635694,15.168838329274173,13.591825943127128,15.33605294325138,31.67311040927378,13934.814990234376,13260.96501953125,12401.636474609375,11197.93625,4.511256199086078,9.821948658056945,30.054769648402836,1.1160265289406888,0.9890966329735587,0.4291282342496899,157.80078125,151.99637276785714,1.043683816193362,0.9474537910218168,0.8537444994611192,0.0,0.0,0.0,10.019605078075312,38.14831327091692
2021-01-13,14564.849609375,14564.849609375,14653.349609375,14435.7001953125,14639.7998046875,874000,0.0096090833128892,9.608621670051524e-05,2.9590853362198466,4.1689421426913675,7.348253619432077,23.824963060666526,15.18590717934279,13.59332360322264,15.320409597566451,31.637528401927973,13984.664990234374,13319.41400390625,12434.16296875,11229.17125,4.148720184185861,9.350528522527313,29.70547233728402,1.1171592483638504,0.9912207035088,0.4296582030849878,217.6494140625,154.16775948660714,1.058491942047747,0.948555630837341,0.8538811276670998,0.0,0.0,0.0,10.44912549651659,-5.981067125645434
2021-01-14,14595.599609375,14595.599609375,14617.7998046875,14471.5,14550.0498046875,620200,0.2111247340323085,0.0021090217895653,3.2414137915647068,4.390363219017646,6.671924408423768,22.930501004153392,15.081676169870937,13.542367662431767,15.308819041473715,31.63673370590243,14030.3099609375,13377.94298828125,12466.40296875,11258.941997070313,4.029060298819842,9.101971971030132,29.635623073401728,1.113666128834281,0.9851626130671859,0.4280583383962037,146.2998046875,152.42843191964286,1.0443451177006493,0.9420041570677025,0.8506710590510002,0.0,0.0,0.0,10.427111285547722,-29.03890160183067
2021-01-15,14433.7001953125,14433.7001953125,14617.4501953125,14357.849609375,14594.349609375,789600,-1.1092344158201597,-0.0111543229606527,0.6025558578298895,2.9618018711880634,5.043411108237472,21.324225272963137,15.912100437833473,13.866582176165357,15.38993366385458,31.65448479128588,14064.9599609375,13430.3469921875,12496.07546875,11287.809248046875,2.621694163361288,7.4707913630873035,27.869809616156992,1.147514234991811,1.0339291114168527,0.438060586599175,259.6005859375,161.25348772321428,1.117201310413688,0.9946741362104513,0.8710850014686594,-1.1092344158201595,-1.1092344158201595,-1.1092344158201595,10.54406973588625,27.313769751692995
2021-01-18,14281.2998046875,14281.2998046875,14459.150390625,14222.7998046875,14453.2998046875,762000,-1.0558650142566628,-0.010614788200058,-1.4045820280812582,1.0500280194498446,3.7843691377986044,19.632417916200986,16.5761152284133,14.15333578464278,15.384367408424731,31.67375170914088,14090.9974609375,13477.80298828125,12524.165966796874,11317.810249023438,1.3505242923898653,5.961630520232997,26.184301472272598,1.1711808071705174,1.0774648569128653,0.4468474689898576,236.3505859375,170.44287109375,1.193468895862029,1.0367671380904673,0.8891661757809783,-2.1533874119540775,-2.1533874119540775,-2.1533874119540775,10.656588930112457,-3.495440729483279
2021-01-19,14521.150390625,14521.150390625,14546.0498046875,14350.849609375,14371.650390625,546100,1.6794730817062842,0.0166552587564137,-0.2904518099777986,2.265223357336521,8.948935844086447,22.062885585371482,11.702685843398346,14.360839908441706,15.451522540481976,31.713805342876693,14150.6349609375,13525.82,12553.881474609376,11347.427250976563,2.6183661066114805,7.358743430158032,27.968658176462903,0.8149026044444084,0.7573807573161853,0.45282613528014626,264.75,179.92145647321428,1.2390303222076218,0.7390385558691887,0.902465804503443,-0.5100798921764071,-0.5100798921764071,-0.5100798921764071,10.057393384568764,-28.333333333333332
2021-01-20,14644.7001953125,14644.7001953125,14666.4501953125,14517.5498046875,14538.2998046875,623100,0.8508265623863087,0.0084722743367609,0.5482417469391709,3.5235500242997153,8.750736339724208,22.751643286333657,11.596071431612241,14.399099366863787,15.391116471115968,31.72344824035257,14209.55498046875,13573.4430078125,12584.7359765625,11379.381752929687,3.0623423143220307,7.892302541686824,28.695042606705236,0.8053331070343143,0.7534262672480083,0.4538945217357543,148.900390625,184.24295479910714,1.2580862178256127,0.7322627999849466,0.9048678865300982,0.0,0.0,0.0,8.427963587776695,14.099981688335461
2021-01-21,14590.349609375,14590.349609375,14753.5498046875,14517.25,14730.9501953125,704600,-0.3711280204622857,-0.0037181840918013,-0.03596974526917096,3.204278118011583,7.2733089853862065,23.985890330564462,11.709931826108757,14.031753586125891,15.399595569462237,31.72635722018196,14259.01748046875,13616.02900390625,12614.1634765625,11411.914501953124,2.3236673169108046,7.155688381606939,27.85190080838664,0.8345308912556111,0.7604051530632291,0.44227433640569136,236.2998046875,196.25725446428572,1.3451168732665668,0.7394874923291509,0.8818828275054709,-0.37112802046228577,-0.37112802046228577,-0.37112802046228577,7.721880861158898,13.07976247793292
